Country,Extreme temperature,Drought,Volcanic eruption,Mass movement,Earthquake,Flood,Storm,Wildfire
Marshall Islands,0,0,0,0,0,0.768,0,0
Martinique,0,0,0,0,0,0.618,0,0
Mauritania,0,0,0,0,0,0.867,0.786,0
Mauritius,0,0,0,0.659,0,0.717,0.814,0.652
Mayotte,0,0,0,0,0,0,0.842,0
Mexico,0.7,0,0.716,0.751,0.948,0.979,0.974,0.82
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0.82,0
Moldova,0,0,0,0,0,0.687,0,0
Mongolia,0.877,0.72,0,0,0,0.854,0.763,0
Montenegro,0,0,0,0,0.624,0.778,0,0.618
Morocco,0,0,0,0,0.724,0.876,0,0
Mozambique,0,0,0,0.714,0.715,0.965,0.972,0.787
Myanmar,0,0,0,0.849,0.89,0.989,0.986,0.65
Namibia,0,0,0,0,0,0.939,0.644,0
Nepal,0,0,0,0.907,0.987,0.975,0.883,0.749
Netherlands,0,0,0,0,0,0.909,0,0.797
New Caledonia,0,0,0,0,0,0.621,0.817,0.651
New Zealand,0,0,0.621,0.629,0.798,0.856,0.755,0.792
Nicaragua,0,0,0.651,0,0.792,0.938,0.953,0.637
Niger,0,0,0,0,0,0.982,0,0
Nigeria,0,0,0,0,0,0.993,0.871,0
North Macedonia,0,0,0,0,0,0.764,0,0.663
Northern Mariana Islands,0,0,0,0,0,0,0.857,0
Norway,0,0,0,0.763,0,0.693,0.712,0.758
Oman,0,0,0,0,0,0.737,0.862,0
Pakistan,0.861,0.695,0,0.86,0.978,0.996,0.916,0
Palau,0,0,0,0,0,0,0.799,0
Palestine,0.838,0,0,0,0,0.79,0.84,0.673
Panama,0,0,0,0.671,0.689,0.819,0.816,0
Papua New Guinea,0,0,0.889,0.876,0.914,0.941,0.829,0
Paraguay,0,0,0,0,0,0.955,0.829,0.702
Peru,0.811,0,0.761,0.823,0.896,0.968,0.857,0.779
Philippines,0.702,0.81,0.971,0.896,0.977,0.995,1,0.667
Poland,0,0,0,0,0,0.892,0.678,0
Portugal,0,0,0,0.638,0,0.667,0.732,0.827
Puerto Rico,0,0,0,0,0.845,0,0.926,0
Réunion,0,0,0,0,0,0.633,0,0
Romania,0,0,0,0.634,0,0.863,0.623,0
Russia,0,0,0,0,0,0.935,0.753,0.882
Russian Federation,0,0,0,0,0,0.803,0,0.734
Rwanda,0,0,0,0.862,0.853,0.885,0.913,0
Samoa,0,0,0,0,0.808,0.677,0.833,0
São Tomé and Principe,0,0,0,0,0,0.717,0,0
Saudi Arabia,0,0,0,0,0,0.887,0,0.624
Senegal,0,0.618,0,0.726,0,0.955,0.846,0
Serbia,0.638,0,0,0,0.757,0.9,0,0.618
Seychelles,0,0,0,0,0,0.627,0.74,0
Sierra Leone,0,0,0,0.847,0,0.809,0.817,0.771
Sint Maarten (Dutch part),0,0,0,0,0,0,0.851,0
Slovak Republic,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0.705,0,0
Slovenia,0,0,0,0.647,0,0,0.699,0
